10013573	DIZZING	DIZZEN
10047899	gain 20 lbs	20 lbs gewinnen
10037211	hyper	hyper
10033775	tingling	prickelnd
10033799	crippled	verkrüppelt
10061920	crazier	verrückter
10058920	Restless Leg Syndrome	Syndrom der ruhelosen Beine
10004716	binge	binge
10019211	headache	Kopfschmerzen
10003119	heart arrhythmia	Herzrhythmusstörungen
10016322	feel like crap	sich beschissen anfühlen
10047899	gain weight	an Gewicht zunehmen
10047899	weight gain	Gewichtszunahme
10020466	hungry	hungrig
10041349	sleepy	schläfrig
10013573	loopy	verrückt
10047899	gain weight	an Gewicht zunehmen
10016322	not feeling good	kein gutes Gefühl
10057667	Bi-Polar	Bi-Polar
10064805	may NOT switch your brain off	darf Ihr Gehirn NICHT abschalten
10047899	weight gain	Gewichtszunahme
10028596	like I'm having a heart attack	als hätte ich einen Herzinfarkt
10000125	crazy shit in my dreams	verrückte Scheiße in meinen Träumen
10000125	dreams	Träume
10002855	anxiety	Angst
10016322	zombified	zombifiziert
10024264	lethargy	Lethargie
10016322	zombieish	zombiehaft
10041349	haze	Dunst
10000087	stomach hurt	Bauchschmerzen
10025482	siiiiiiiiiiiiiiick	siiiiiiiiiiiiiiiiiiiiiiiiiiick
10041349	sleepy	schläfrig
10048010	withdrawls	zieht sich zurück
10047899	weight gain	Gewichtszunahme
10041349	drowsy	schläfrig
10027951	mood	Stimmung
10033557	heart was hurting	das Herz schmerzte
10061920	madness	Wahnsinn
10053615	burns	brennt
10057667	bipolar	bipolar
10048010	wdrawal	wdrawal
10011401	crohns	crohns
10042209	stressful	stressigen
10034972	sun sensitivity	Sonnenempfindlichkeit
10003549	zap me of all energy	zappen Sie mich von aller Energie
10047899	gained weight	Gewicht zugenommen
10043757	thyroid	Schilddrüse
10028836	Neck ache	Nackenschmerzen
10047899	gain 18 kg	18 kg zunehmen
10033664	panic attack	Panikattacke
10047700	Vomits	Erbricht
10022998	irritable	gereizt
10047895	lost tons of weight	Tonnen von Gewicht verloren
10047895	wt loss	Gewichtsverlust
10047340	vertigo	Schwindelgefühl
10020765	sleep	schlafen
10044565	shakes	schüttelt
10027599	migraines	Migräne
10020765	sleeping 15 hrs	15 Stunden schlafen
10022437	sleeping schedule of a fucking vampire	Schlafplan eines verdammten Vampirs
